,product_id,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_volume_cm3,product_category_name,product_master_category_name
0,1e9e8ef04dbcff4541ed26657ea517e5,40,287,1,True,16.0,10.0,True,2240.0,perfumery,Health & Beauty
1,3aa071139cb16b67ca9e5dea641aaa2f,44,276,1,True,30.0,18.0,True,10800.0,art,Stationery & Art
2,96bd76ec8810374ed1b65e291975717f,46,250,1,True,18.0,9.0,True,2430.0,sports_leisure,Sports & Outdoors
3,cef67bcfe19066a932b7673e239eb23d,27,261,1,True,26.0,4.0,True,2704.0,baby,Toys & Baby
4,9dc1a7de274444849c219cff195d0b71,37,402,4,True,20.0,17.0,True,4420.0,housewares,Home & Living
5,41d3672d4792049fa1779bb35283ed13,60,745,1,True,38.0,5.0,True,2090.0,musical_instruments,Entertainment
6,732bd381ad09e530fe0a5f457d81becb,56,1272,4,True,70.0,24.0,True,73920.0,cool_stuff,Miscellaneous
7,2548af3e6e77a690cf3eb6368e9ab61e,56,184,2,True,40.0,8.0,True,12800.0,furniture_decor,Furniture
8,37cc742be07708b53a98702e77a21a02,57,163,1,True,27.0,13.0,True,5967.0,home_appliances,Appliances
9,8c92109888e8cdf9d66dc7e463025574,36,1156,1,True,17.0,10.0,True,2040.0,toys,Toys & Baby
10,14aa47b7fe5c25522b47b4b29c98dcb9,54,630,1,True,16.0,10.0,True,2560.0,bed_bath_table,Home & Living
11,03b63c5fc16691530586ae020c345514,49,728,4,True,50.0,19.0,True,42750.0,baby,Toys & Baby
12,cf55509ea8edaaac1d28fdb16e48fc22,43,1827,3,True,17.0,7.0,True,2023.0,musical_instruments,Entertainment
13,7bb6f29c2be57716194f96496660c7c2,51,2083,2,True,68.0,11.0,True,9724.0,furniture_decor,Furniture
14,eb31436580a610f202c859463d8c7415,59,1602,4,True,17.0,7.0,True,2023.0,construction_tools_safety,Construction
15,3bb7f144022e6732727d8d838a7b13b3,22,3021,1,True,16.0,2.0,True,352.0,sports_leisure,Sports & Outdoors
16,6a2fb4dd53d2cdb88e0432f1284a004c,39,346,2,True,27.0,5.0,True,2700.0,perfumery,Health & Beauty
17,a1b71017a84f92fd8da4aeefba108a24,59,636,1,True,40.0,15.0,True,12000.0,computers_accessories,Electronics
18,a0736b92e52f6cead290e30b578413b6,56,296,2,True,100.0,7.0,True,10500.0,furniture_decor,Furniture
19,f53103a77d9cf245e579ea37e5ec51f0,52,206,1,True,16.0,10.0,True,2560.0,bed_bath_table,Home & Living
20,1c1890ba1779090cd54008a3c3302921,27,158,4,True,29.0,24.0,True,31320.0,furniture_decor,Furniture
21,518ef5de2c2b3a255e326a4594ba15d9,27,329,2,True,36.0,8.0,True,4608.0,bed_bath_table,Home & Living
22,e3e020af31d4d89d2602272b315c3f6e,58,1987,3,True,21.0,7.0,True,1911.0,health_beauty,Health & Beauty
23,8b41fbc2b984a12030090112324d1bc4,55,1627,1,True,20.0,13.0,True,3380.0,baby,Toys & Baby
24,d03bd02af9fff4b98f1c972315e5e9ef,56,209,1,True,40.0,10.0,True,12000.0,furniture_decor,Furniture
25,8ba4f2a4ae695d26e5626c1bf710975e,52,968,1,True,50.0,5.0,True,12500.0,housewares,Home & Living
26,f6574524b07d5bb753bab6f35abe2d06,52,573,5,True,35.0,25.0,True,43750.0,luggage_accessories,Travel
27,c78b767da00efb70c1bcccab87c28cd5,35,1101,2,True,42.0,2.0,True,2520.0,computers_accessories,Electronics
28,a0253d43394dd4da9a5d7b1f546f1a32,59,1890,2,True,23.0,13.0,True,3887.0,computers_accessories,Electronics
29,051b9ff13dd55c0a6655a15ff296f80d,50,529,2,True,62.0,23.0,True,32798.0,sports_leisure,Sports & Outdoors
30,47859fca9dd7485cbd93c3e8993bb74f,45,206,1,True,16.0,10.0,True,2560.0,bed_bath_table,Home & Living
31,e1d1d22e9f8122a4ec1533b032c12562,49,1163,9,True,70.0,8.0,True,19040.0,garden_tools,Construction
32,20e37962088a4061d3578def47a8648b,60,208,1,True,40.0,10.0,True,13600.0,furniture_decor,Furniture
33,1eba879220bd0981a0e2fbab499ed4e1,57,476,1,True,52.0,51.0,True,45084.0,office_furniture,Furniture
34,ce5b91848b91118daffb3af53b747475,50,699,4,True,34.0,9.0,True,9486.0,sports_leisure,Sports & Outdoors
35,5370b82a213393979691c98074265584,52,708,9,True,33.0,30.0,True,43560.0,baby,Toys & Baby
36,b8dac5113b06a97e64943234522572b9,43,1062,2,True,87.0,3.0,True,10962.0,auto,Auto
37,750cf819d127191920eda79a4b6fb479,31,806,1,True,18.0,12.0,True,3456.0,electronics,Electronics
38,e6af694343b45b56304ad91974a110b9,37,352,1,True,19.0,20.0,True,5700.0,housewares,Home & Living
39,680874c570dad71c0a2844cfbf417054,47,502,1,True,25.0,25.0,True,15625.0,furniture_decor,Furniture
40,8b3a9476f74f5297f7ff0ec6d95fe1ea,63,254,2,True,49.0,13.0,True,26117.0,furniture_decor,Furniture
41,1c6fb703c624b381a20f21f757694866,33,471,2,True,22.0,17.0,True,5610.0,toys,Toys & Baby
42,db46052aed7dff59ba38cf2fe29b87f9,56,509,4,True,45.0,15.0,True,23625.0,bed_bath_table,Home & Living
43,b864b103180d5a6a3f830e67f93e8735,47,980,4,True,70.0,11.0,True,8470.0,baby,Toys & Baby
44,7a8dac4aaa16bc642e4df33adcf03303,38,1701,2,True,18.0,40.0,True,56880.0,cool_stuff,Miscellaneous
45,83b9bc6aae6f527ff6aafb9e01d6cbf3,20,866,3,True,22.0,32.0,True,26752.0,toys,Toys & Baby
46,5f504b3a1c75b73d6151be81eb05bdc9,38,1176,3,True,47.0,40.0,True,88360.0,cool_stuff,Miscellaneous
47,bbf920aa6ac72007a726e6f419156f8f,42,303,2,True,25.0,16.0,True,10000.0,furniture_decor,Furniture
48,c3b7e4d83e530c27a8e6368296aece48,60,1972,2,True,69.0,11.0,True,8349.0,furniture_decor,Furniture
49,c5d8079278e912d7e3b6beb48ecb56e8,60,330,1,True,19.0,28.0,True,9044.0,health_beauty,Health & Beauty
50,5eaa343860dc445b3fd43d1b682809fd,53,3218,5,True,60.0,30.0,True,27000.0,sports_leisure,Sports & Outdoors
51,b5cfb1d3c5e435a7a52227e08f220ee7,55,410,2,True,36.0,16.0,True,13824.0,cool_stuff,Miscellaneous
52,334479e94cba98064050db1c9636e244,57,311,1,True,18.0,14.0,True,4284.0,auto,Auto
53,3fcd8dfe610c62edfb51de2630cd9ef4,50,509,4,True,41.0,17.0,True,34153.0,baby,Toys & Baby
54,4c8056caed5757810b9a68b83c3759e6,53,1291,2,True,20.0,40.0,True,24000.0,luggage_accessories,Travel
55,30e77af9e7759bbaa0305d2fbc605dc4,60,402,2,True,32.0,12.0,True,14208.0,fashion_shoes,Fashion
56,92bf5d2084dfbcb57d9db7838bac5cd0,51,427,2,True,19.0,3.0,True,627.0,telephony,Electronics
57,fdeb34a9f03fea7c3937dd62d1d0287e,58,1252,1,True,30.0,20.0,True,13800.0,cool_stuff,Miscellaneous
58,1065dbb6b0bf03daaedab1236979e296,49,488,3,True,38.0,40.0,True,59280.0,stationery,Stationery & Art
